Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-01-16,15:00:00,152.386,152.406,152.306,152.361,0,0
2018-01-16,16:00:00,152.356,152.507,152.27,152.427,0,0
2018-01-16,17:00:00,152.43,152.542,152.386,152.45,0,0
2018-01-16,18:00:00,152.451,152.617,152.445,152.53,0,0
2018-01-16,19:00:00,152.528,152.711,152.489,152.502,0,0
2018-01-16,20:00:00,152.508,152.614,152.464,152.488,0,0
2018-01-16,21:00:00,152.484,152.498,152.076,152.131,0,0
2018-01-16,22:00:00,152.142,152.285,152.103,152.284,0,0
2018-01-16,23:00:00,152.297,152.483,152.294,152.334,0,0
2018-01-16,23:59:00,152.334,152.416,152.232,152.283,0,0
2018-01-17,01:00:00,152.274,152.326,152.15,152.319,0,0
2018-01-17,02:00:00,152.318,152.547,152.205,152.471,0,0
2018-01-17,03:00:00,152.47,152.69,152.44,152.563,0,0
2018-01-17,04:00:00,152.559,152.76,152.53,152.619,0,0
2018-01-17,05:00:00,152.623,152.707,152.562,152.563,0,0
2018-01-17,06:00:00,152.562,152.807,152.457,152.724,0,0
2018-01-17,07:00:00,152.724,152.804,152.68,152.706,0,0
2018-01-17,08:00:00,152.706,152.727,152.54,152.565,0,0
2018-01-17,09:00:00,152.556,152.666,152.389,152.425,0,0
2018-01-17,10:00:00,152.402,152.703,152.402,152.699,0,0
2018-01-17,11:00:00,152.697,152.783,152.627,152.766,0,0
2018-01-17,12:00:00,152.754,152.844,152.625,152.683,0,0
2018-01-17,13:00:00,152.679,152.832,152.661,152.676,0,0
2018-01-17,14:00:00,152.679,152.829,152.606,152.607,0,0
2018-01-17,15:00:00,152.597,152.815,152.597,152.801,0,0
2018-01-17,16:00:00,152.8,152.94,152.673,152.707,0,0
2018-01-17,17:00:00,152.695,153.232,152.674,153.174,0,0
2018-01-17,18:00:00,153.169,153.383,153.084,153.195,0,0
2018-01-17,19:00:00,153.193,153.421,153.169,153.421,0,0
2018-01-17,20:00:00,153.424,154.214,153.421,154.018,0,0
2018-01-17,21:00:00,153.984,154.222,153.87,154.196,0,0
2018-01-17,22:00:00,154.226,154.282,153.964,153.98,0,0
2018-01-17,23:00:00,153.984,154.074,153.892,153.928,0,0
2018-01-17,23:59:00,153.94,153.974,153.703,153.759,0,0
2018-01-18,01:00:00,153.761,154.015,153.702,153.95,0,0
2018-01-18,02:00:00,153.948,153.976,153.712,153.769,0,0
2018-01-18,03:00:00,153.769,153.889,153.715,153.777,0,0
2018-01-18,04:00:00,153.777,153.922,153.739,153.809,0,0
2018-01-18,05:00:00,153.802,153.93,153.71,153.892,0,0
2018-01-18,06:00:00,153.887,153.959,153.857,153.923,0,0
2018-01-18,07:00:00,153.926,153.961,153.672,153.739,0,0
2018-01-18,08:00:00,153.739,153.963,153.654,153.949,0,0
2018-01-18,09:00:00,153.955,154.005,153.639,153.853,0,0
2018-01-18,10:00:00,153.854,153.959,153.801,153.801,0,0
2018-01-18,11:00:00,153.767,154.086,153.75,154.086,0,0
2018-01-18,12:00:00,154.087,154.251,153.905,154.24,0,0
2018-01-18,13:00:00,154.221,154.575,154.146,154.528,0,0
2018-01-18,14:00:00,154.511,154.583,154.212,154.242,0,0
2018-01-18,15:00:00,154.241,154.294,154.051,154.068,0,0
2018-01-18,16:00:00,154.074,154.197,153.936,154.031,0,0
2018-01-18,17:00:00,154.016,154.227,153.753,154.011,0,0
2018-01-18,18:00:00,153.999,154.22,153.912,153.991,0,0
2018-01-18,19:00:00,154,154.117,153.94,153.979,0,0
2018-01-18,20:00:00,153.985,154.224,153.96,154.196,0,0
2018-01-18,21:00:00,154.197,154.257,154.172,154.198,0,0
2018-01-18,22:00:00,154.179,154.351,154.168,154.265,0,0
2018-01-18,23:00:00,154.272,154.397,154.23,154.382,0,0
2018-01-18,23:59:00,154.375,154.443,154.249,154.28,0,0
2018-01-19,01:00:00,154.288,154.374,154.189,154.269,0,0
2018-01-19,02:00:00,154.266,154.311,154.134,154.284,0,0
2018-01-19,03:00:00,154.282,154.361,154.21,154.326,0,0
2018-01-19,04:00:00,154.319,154.34,154.2,154.251,0,0
2018-01-19,05:00:00,154.238,154.352,154.233,154.293,0,0
2018-01-19,06:00:00,154.293,154.324,154.231,154.272,0,0
2018-01-19,07:00:00,154.272,154.284,154.19,154.193,0,0
2018-01-19,08:00:00,154.21,154.225,153.975,153.975,0,0
2018-01-19,09:00:00,153.987,154.22,153.955,154.064,0,0
2018-01-19,10:00:00,154.075,154.222,153.986,154.025,0,0
2018-01-19,11:00:00,154.032,154.165,153.796,153.941,0,0
2018-01-19,12:00:00,153.948,153.96,153.826,153.872,0,0
2018-01-19,13:00:00,153.872,153.984,153.483,153.768,0,0
2018-01-19,14:00:00,153.762,153.768,153.342,153.434,0,0
2018-01-19,15:00:00,153.436,153.516,153.16,153.25,0,0
2018-01-19,16:00:00,153.242,153.647,153.221,153.533,0,0
2018-01-19,17:00:00,153.489,153.531,153.117,153.18,0,0
2018-01-19,18:00:00,153.185,153.342,153.148,153.179,0,0
2018-01-19,19:00:00,153.18,153.36,153.161,153.309,0,0
2018-01-19,20:00:00,153.304,153.397,153.233,153.381,0,0
2018-01-19,21:00:00,153.396,153.545,153.385,153.419,0,0
2018-01-19,22:00:00,153.401,153.568,153.386,153.564,0,0
2018-01-19,23:00:00,153.559,153.582,153.557,153.575,0,0
2018-01-22,01:00:00,153.656,153.799,153.569,153.757,0,0
2018-01-22,02:00:00,153.757,153.774,153.599,153.652,0,0
2018-01-22,03:00:00,153.659,153.705,153.505,153.612,0,0
2018-01-22,04:00:00,153.61,153.703,153.566,153.666,0,0
2018-01-22,05:00:00,153.664,153.708,153.63,153.69,0,0
2018-01-22,06:00:00,153.69,153.69,153.529,153.616,0,0
2018-01-22,07:00:00,153.619,153.703,153.578,153.636,0,0
2018-01-22,08:00:00,153.635,153.751,153.624,153.72,0,0
2018-01-22,09:00:00,153.718,153.963,153.662,153.85,0,0
2018-01-22,10:00:00,153.847,154.023,153.83,153.993,0,0
2018-01-22,11:00:00,153.98,154.078,153.828,153.865,0,0
2018-01-22,12:00:00,153.862,154.057,153.834,153.916,0,0
2018-01-22,13:00:00,153.915,153.996,153.824,153.93,0,0
2018-01-22,14:00:00,153.926,154.04,153.912,153.993,0,0
2018-01-22,15:00:00,153.985,154.272,153.89,154.186,0,0
2018-01-22,16:00:00,154.185,154.411,154.095,154.401,0,0
2018-01-22,17:00:00,154.397,154.794,154.349,154.767,0,0
2018-01-22,18:00:00,154.748,154.979,154.643,154.979,0,0
2018-01-22,19:00:00,154.961,155.198,154.85,155.105,0,0
2018-01-22,20:00:00,155.109,155.155,154.915,155.109,0,0
2018-01-22,21:00:00,155.108,155.252,155.078,155.189,0,0
2018-01-22,22:00:00,155.185,155.259,155.131,155.21,0,0
2018-01-22,23:00:00,155.215,155.215,155.136,155.149,0,0
2018-01-22,23:59:00,155.145,155.203,155.051,155.127,0,0
2018-01-23,01:00:00,155.147,155.231,155.131,155.198,0,0
2018-01-23,02:00:00,155.199,155.289,155.112,155.175,0,0
2018-01-23,03:00:00,155.172,155.32,155.119,155.307,0,0
2018-01-23,04:00:00,155.307,155.342,155.047,155.1,0,0
2018-01-23,05:00:00,155.096,155.149,154.686,154.854,0,0
2018-01-23,06:00:00,154.858,155.003,154.828,154.938,0,0
2018-01-23,07:00:00,154.929,154.977,154.827,154.955,0,0
2018-01-23,08:00:00,154.958,155.397,154.899,155.265,0,0
2018-01-23,09:00:00,155.266,155.323,154.941,154.988,0,0
2018-01-23,10:00:00,154.998,154.998,154.389,154.485,0,0
2018-01-23,11:00:00,154.485,154.513,154.312,154.387,0,0
2018-01-23,12:00:00,154.343,154.445,154.204,154.378,0,0
2018-01-23,13:00:00,154.37,154.374,153.932,153.932,0,0
2018-01-23,14:00:00,153.948,154.192,153.745,154.183,0,0
2018-01-23,15:00:00,154.194,154.219,154.029,154.039,0,0
2018-01-23,16:00:00,154.035,154.561,154.023,154.419,0,0
2018-01-23,17:00:00,154.433,154.704,154.354,154.678,0,0
2018-01-23,18:00:00,154.678,154.732,154.169,154.259,0,0
2018-01-23,19:00:00,154.27,154.395,154.254,154.354,0,0
2018-01-23,20:00:00,154.359,154.496,154.305,154.343,0,0
2018-01-23,21:00:00,154.339,154.494,154.27,154.453,0,0
2018-01-23,22:00:00,154.417,154.442,154.367,154.416,0,0
2018-01-23,23:00:00,154.406,154.475,154.387,154.42,0,0
2018-01-23,23:59:00,154.421,154.512,154.343,154.417,0,0
2018-01-24,01:00:00,154.418,154.473,154.279,154.306,0,0
2018-01-24,02:00:00,154.301,154.435,154.254,154.407,0,0
2018-01-24,03:00:00,154.404,154.495,154.332,154.367,0,0
2018-01-24,04:00:00,154.351,154.48,154.242,154.339,0,0
2018-01-24,05:00:00,154.327,154.387,154.258,154.328,0,0
2018-01-24,06:00:00,154.328,154.348,154.142,154.18,0,0
2018-01-24,07:00:00,154.181,154.295,154.136,154.289,0,0
2018-01-24,08:00:00,154.288,154.426,154.203,154.298,0,0
2018-01-24,09:00:00,154.302,154.484,154.177,154.268,0,0
2018-01-24,10:00:00,154.272,154.595,154.254,154.497,0,0
2018-01-24,11:00:00,154.496,154.711,154.421,154.553,0,0
2018-01-24,12:00:00,154.561,154.565,154.366,154.392,0,0
2018-01-24,13:00:00,154.388,154.917,154.257,154.858,0,0
2018-01-24,14:00:00,154.859,155.101,154.796,154.979,0,0
2018-01-24,15:00:00,154.979,155.371,154.902,155.325,0,0
2018-01-24,16:00:00,155.312,155.372,155.143,155.228,0,0
2018-01-24,17:00:00,155.248,155.621,155.169,155.314,0,0
2018-01-24,18:00:00,155.318,155.36,154.883,154.963,0,0
2018-01-24,19:00:00,154.976,155.21,154.867,155.02,0,0
2018-01-24,20:00:00,155.031,155.156,154.897,155.114,0,0
2018-01-24,21:00:00,155.096,155.148,154.944,155.023,0,0
2018-01-24,22:00:00,155.03,155.122,154.962,155.064,0,0
2018-01-24,23:00:00,155.068,155.703,155.067,155.536,0,0
2018-01-24,23:59:00,155.566,155.58,155.413,155.493,0,0
2018-01-25,01:00:00,155.496,155.527,155.415,155.473,0,0
2018-01-25,02:00:00,155.458,155.717,155.376,155.622,0,0
2018-01-25,03:00:00,155.622,155.644,155.538,155.566,0,0
2018-01-25,04:00:00,155.565,155.712,155.406,155.627,0,0
2018-01-25,05:00:00,155.614,155.86,155.598,155.823,0,0
2018-01-25,06:00:00,155.825,155.861,155.727,155.813,0,0
2018-01-25,07:00:00,155.809,155.854,155.721,155.76,0,0
2018-01-25,08:00:00,155.749,155.85,155.63,155.735,0,0
2018-01-25,09:00:00,155.735,155.815,155.361,155.407,0,0
2018-01-25,10:00:00,155.4,155.834,155.257,155.566,0,0
2018-01-25,11:00:00,155.569,155.849,155.387,155.729,0,0
2018-01-25,12:00:00,155.744,155.783,155.469,155.558,0,0
2018-01-25,13:00:00,155.556,155.647,155.267,155.429,0,0
2018-01-25,14:00:00,155.424,155.571,155.392,155.393,0,0
2018-01-25,15:00:00,155.381,155.815,155.213,155.634,0,0
2018-01-25,16:00:00,155.657,156.08,155.604,155.654,0,0
2018-01-25,17:00:00,155.633,155.77,155.272,155.452,0,0
2018-01-25,18:00:00,155.453,155.523,155.025,155.036,0,0
2018-01-25,19:00:00,155.041,155.239,154.815,154.903,0,0
2018-01-25,20:00:00,154.911,154.96,154.592,154.596,0,0
2018-01-25,21:00:00,154.59,155.037,154.465,154.505,0,0
2018-01-25,22:00:00,154.555,154.689,154.437,154.532,0,0
2018-01-25,23:00:00,154.511,154.813,154.507,154.698,0,0
2018-01-25,23:59:00,154.738,154.932,154.669,154.755,0,0
2018-01-26,01:00:00,154.808,155.249,154.758,155.208,0,0
2018-01-26,02:00:00,155.19,155.396,155.116,155.352,0,0
2018-01-26,03:00:00,155.349,155.409,155.167,155.219,0,0
2018-01-26,04:00:00,155.21,155.287,155.02,155.086,0,0
2018-01-26,05:00:00,155.078,155.191,155.078,155.176,0,0
2018-01-26,06:00:00,155.183,155.23,155.078,155.15,0,0
2018-01-26,07:00:00,155.15,155.164,155.055,155.098,0,0
2018-01-26,08:00:00,155.099,155.346,155.022,155.295,0,0
2018-01-26,09:00:00,155.282,155.443,155.232,155.302,0,0
2018-01-26,10:00:00,155.306,155.418,154.93,155.087,0,0
2018-01-26,11:00:00,155.082,155.667,155.038,155.585,0,0
2018-01-26,12:00:00,155.602,155.62,155.329,155.386,0,0
2018-01-26,13:00:00,155.373,155.859,155.35,155.83,0,0
2018-01-26,14:00:00,155.837,155.837,155.518,155.644,0,0
2018-01-26,15:00:00,155.653,155.706,155.507,155.612,0,0
2018-01-26,16:00:00,155.607,155.685,154.566,154.566,0,0
2018-01-26,17:00:00,154.534,154.534,153.864,154.016,0,0
2018-01-26,18:00:00,154.014,154.108,153.442,153.671,0,0
2018-01-26,19:00:00,153.665,154,153.6,153.926,0,0
2018-01-26,20:00:00,153.925,153.992,153.801,153.843,0,0
2018-01-26,21:00:00,153.84,154.517,153.767,153.876,0,0
2018-01-26,22:00:00,153.859,153.901,153.726,153.814,0,0
2018-01-26,23:00:00,153.802,153.818,153.787,153.81,0,0
2018-01-29,01:00:00,153.734,153.861,153.669,153.695,0,0
2018-01-29,02:00:00,153.692,153.88,153.423,153.814,0,0
2018-01-29,03:00:00,153.802,153.877,153.724,153.774,0,0
2018-01-29,04:00:00,153.77,153.87,153.684,153.739,0,0
2018-01-29,05:00:00,153.729,153.794,153.674,153.737,0,0
2018-01-29,06:00:00,153.746,153.782,153.71,153.737,0,0
2018-01-29,07:00:00,153.745,153.814,153.693,153.752,0,0
2018-01-29,08:00:00,153.767,153.886,153.671,153.699,0,0
2018-01-29,09:00:00,153.699,154.021,153.689,153.896,0,0
2018-01-29,10:00:00,153.898,153.96,153.662,153.816,0,0
2018-01-29,11:00:00,153.803,153.898,153.454,153.464,0,0
2018-01-29,12:00:00,153.471,153.514,153.166,153.188,0,0
2018-01-29,13:00:00,153.197,153.216,152.856,152.856,0,0
2018-01-29,14:00:00,152.86,153.2,152.828,153.182,0,0
2018-01-29,15:00:00,153.182,153.331,153.079,153.152,0,0
2018-01-29,16:00:00,153.145,153.351,153.066,153.302,0,0
2018-01-29,17:00:00,153.291,153.455,153.082,153.312,0,0
2018-01-29,18:00:00,153.325,153.344,153.102,153.248,0,0
2018-01-29,19:00:00,153.248,153.506,153.192,153.491,0,0
2018-01-29,20:00:00,153.489,153.508,153.324,153.376,0,0
2018-01-29,21:00:00,153.38,153.403,153.271,153.369,0,0
2018-01-29,22:00:00,153.363,153.413,153.282,153.35,0,0
2018-01-29,23:00:00,153.333,153.389,153.307,153.338,0,0
2018-01-29,23:59:00,153.342,153.397,153.298,153.366,0,0
2018-01-30,01:00:00,153.367,153.401,153.284,153.325,0,0
2018-01-30,02:00:00,153.318,153.363,153.148,153.238,0,0
2018-01-30,03:00:00,153.231,153.241,153.029,153.174,0,0
2018-01-30,04:00:00,153.171,153.336,153.091,153.219,0,0
2018-01-30,05:00:00,153.214,153.241,152.9,152.925,0,0
2018-01-30,06:00:00,152.925,152.971,152.599,152.729,0,0
2018-01-30,07:00:00,152.717,152.827,152.582,152.588,0,0
2018-01-30,08:00:00,152.577,152.621,152.432,152.519,0,0
2018-01-30,09:00:00,152.519,152.522,152.184,152.216,0,0
2018-01-30,10:00:00,152.186,152.458,151.978,152.408,0,0
2018-01-30,11:00:00,152.424,152.946,152.334,152.894,0,0
2018-01-30,12:00:00,152.898,153.279,152.796,152.958,0,0
2018-01-30,13:00:00,152.945,153.441,152.902,153.42,0,0
2018-01-30,14:00:00,153.437,153.547,153.321,153.385,0,0
2018-01-30,15:00:00,153.395,153.857,153.251,153.535,0,0
2018-01-30,16:00:00,153.527,153.644,153.24,153.404,0,0
2018-01-30,17:00:00,153.411,153.757,153.264,153.579,0,0
2018-01-30,18:00:00,153.574,153.806,153.504,153.765,0,0
2018-01-30,19:00:00,153.773,153.98,153.712,153.915,0,0
2018-01-30,20:00:00,153.916,153.919,153.675,153.868,0,0
2018-01-30,21:00:00,153.871,154.078,153.815,153.945,0,0
2018-01-30,22:00:00,153.943,154.008,153.861,153.909,0,0
2018-01-30,23:00:00,153.901,153.957,153.847,153.933,0,0
2018-01-30,23:59:00,153.882,153.943,153.811,153.92,0,0
2018-01-31,01:00:00,153.92,153.94,153.771,153.925,0,0
